"Easting","Northing","Latitude","Longitude","Family","Cover_Class","Number","Genus_species"
"608985.68 m E","3899836.32 m N","35° 14' 8.430""","-115° 48' 8.075""","Ephedraceae","Rock","2","Ephedra viridis"
"608993.79 m E","3899850.40 m N","35° 14' 8.884""","-115° 48' 7.747""","Boraginaceae","Rock","1","Cryptantha angustifolia"
"608994.04 m E","3899852.84 m N","35° 14' 8.963""","-115° 48' 7.736""","Ephedraceae","Plant","1","Ephedra viridis"
"608993.67 m E","3899852.72 m N","35° 14' 8.959""","-115° 48' 7.751""","Brassicaceae","Boulder","1","Lepidium densiflorum"
"608992.51 m E","3899866.24 m N","35° 14' 9.398""","-115° 48' 7.790""","Cactaceae","Rock","1","Ferocactus cylindraceus"
"608992.51 m E","3899866.24 m N","35° 14' 9.398""","-115° 48' 7.790""","Agavaceae","Rock","1","Yucca schidigera"
"608992.51 m E","3899866.24 m N","35° 14' 9.398""","-115° 48' 7.790""","Ephedraceae","Rock","1","Ephedra viridis"
"608998.00 m E","3899879.06 m N","35° 14' 9.812""","-115° 48' 7.567""","Cactaceae","Sand","3","Cylindropuntia echinocarpa"
"609000.33 m E","3899882.31 m N","35° 14' 9.917""","-115° 48' 7.473""","Polygonaceae","Rock","6","Eriogonum inflatum"
"608999.32 m E","3899890.17 m N","35° 14' 10.172""","-115° 48' 7.510""","Ephedraceae","Rock","1","Ephedra viridis"
"608999.32 m E","3899890.17 m N","35° 14' 10.172""","-115° 48' 7.510""","Cleomaceae","Rock","1","Sphaeralcea ambigua"
"608998.72 m E","3899894.60 m N","35° 14' 10.316""","-115° 48' 7.531""","Zygophyllaceae","Rock","1","Larrea tridentata"
"608998.72 m E","3899894.60 m N","35° 14' 10.316""","-115° 48' 7.531""","Polygonaceae","Rock","4","Eriogonum inflatum"
"609005.47 m E","3899847.76 m N","35° 14' 8.794""","-115° 48' 7.287""","Ephedraceae","Rock","1","Ephedra viridis"
"609005.47 m E","3899847.76 m N","35° 14' 8.794""","-115° 48' 7.287""","Brassicaceae","Rock","20","Lepidium densiflorum"
"609005.47 m E","3899847.76 m N","35° 14' 8.794""","-115° 48' 7.287""","Agavaceae","Rock","1","Yucca schidigera"
"609010.11 m E","3899841.05 m N","35° 14' 8.574""","-115° 48' 7.106""","Ephedraceae","Rock","1","Ephedra viridis"
"609011.80 m E","3899828.65 m N","35° 14' 8.171""","-115° 48' 7.045""","Brassicaceae","Rock","1","Lepidium densiflorum"
"609017.42 m E","3899808.08 m N","35° 14' 7.501""","-115° 48' 6.833""","Ephedraceae","Plant","1","Ephedra viridis"
"609428.19 m E","3899999.63 m N","35° 14' 13.557""","-115° 47' 50.493""","Solanaceae","Sand","2","Lycium andersonii"
"609437.86 m E","3899997.64 m N","35° 14' 13.488""","-115° 47' 50.111""","Solanaceae","Rock","1","Lycium andersonii"
"609437.86 m E","3899997.64 m N","35° 14' 13.488""","-115° 47' 50.111""","Cactaceae","Rock","1","Ferocactus cylindraceus"
"609420.37 m E","3899992.21 m N","35° 14' 13.319""","-115° 47' 50.805""","Solanaceae","Sand","1","Lycium andersonii"
