,Genus_Species,Latitude,Longitude
445,Cryptantha_angustifolia,35.23460306,-114.1967461
446,Cryptantha_angustifolia,35.235195,-114.1967969
447,Cryptantha_angustifolia,35.23543583,-114.2010881
448,Cryptantha_angustifolia,35.23564417,-114.2011542
449,Cryptantha_angustifolia,35.23568889,-114.2011689
450,Cryptantha_angustifolia,35.23570806,-114.2009631
451,Cryptantha_angustifolia,35.23572889,-114.2011331
452,Cryptantha_angustifolia,35.23576083,-114.2012369
453,Cryptantha_angustifolia,35.23576111,-114.2009931
454,Cryptantha_angustifolia,35.23579194,-114.2009939
455,Cryptantha_angustifolia,35.23580111,-114.1978481
456,Cryptantha_angustifolia,35.23583806,-114.2011642
457,Cryptantha_angustifolia,35.23584,-114.2010769
458,Cryptantha_angustifolia,35.23584194,-114.2009481
459,Cryptantha_angustifolia,35.23585,-114.2010181
460,Cryptantha_angustifolia,35.23588,-114.2011439
461,Cryptantha_angustifolia,35.23590194,-114.2011581
462,Cryptantha_angustifolia,35.23591417,-114.1981189
463,Cryptantha_angustifolia,35.23597694,-114.2009611
464,Cryptantha_angustifolia,35.23598028,-114.2009461
465,Cryptantha_angustifolia,35.23603611,-114.20097
466,Cryptantha_angustifolia,35.23605417,-114.1967908
467,Cryptantha_angustifolia,35.23607806,-114.201105
468,Cryptantha_angustifolia,35.23608194,-114.2009439
469,Cryptantha_angustifolia,35.23612694,-114.2009489
470,Cryptantha_angustifolia,35.23614306,-114.201045
471,Cryptantha_angustifolia,35.23626028,-114.2029892
472,Cryptantha_angustifolia,35.23630917,-114.2010589
473,Cryptantha_angustifolia,35.23674806,-114.2028161
474,Cryptantha_angustifolia,35.23675389,-114.2027381
475,Cryptantha_angustifolia,35.23819611,-114.2012869
476,Cryptantha_angustifolia,35.23840611,-114.2010581
477,Cryptantha_angustifolia,35.23842806,-114.2016608
478,Cryptantha_angustifolia,35.23847389,-114.2016261
479,Cryptantha_angustifolia,35.238525,-114.20171
480,Cryptantha_angustifolia,35.238655,-114.2011869
481,Cylindropuntia_acanthocarpa,35.231774,-115.79363
482,Cylindropuntia_acanthocarpa,35.231876,-115.794006
483,Cylindropuntia_acanthocarpa,35.231904,-115.796896
484,Cylindropuntia_acanthocarpa,35.231954,-115.796703
485,Cylindropuntia_acanthocarpa,35.23198,-115.796373
486,Cylindropuntia_acanthocarpa,35.232066,-115.79398
487,Cylindropuntia_acanthocarpa,35.232079,-115.794285
488,Cylindropuntia_acanthocarpa,35.232089,-115.793949
489,Cylindropuntia_acanthocarpa,35.232187,-115.794142
490,Cylindropuntia_acanthocarpa,35.23219,-115.796098
491,Cylindropuntia_acanthocarpa,35.232245,-115.794468
492,Cylindropuntia_acanthocarpa,35.23225,-115.793661
493,Cylindropuntia_acanthocarpa,35.232301,-115.796316
494,Cylindropuntia_acanthocarpa,35.232424,-115.796284
495,Cylindropuntia_acanthocarpa,35.232436,-115.795725
496,Cylindropuntia_acanthocarpa,35.232682,-115.793736
497,Cylindropuntia_acanthocarpa,35.235391,-115.802066
498,Cylindropuntia_acanthocarpa,35.235397,-115.802107
499,Cylindropuntia_acanthocarpa,35.235408,-115.802229
500,Cylindropuntia_acanthocarpa,35.235453,-115.802403
501,Cylindropuntia_acanthocarpa,35.235774,-115.802022
502,Cylindropuntia_acanthocarpa,35.235775,-115.802067
503,Cylindropuntia_acanthocarpa,35.236036,-115.801601
504,Cylindropuntia_acanthocarpa,35.236052,-115.801773
505,Cylindropuntia_acanthocarpa,35.236059,-115.801317
506,Cylindropuntia_acanthocarpa,35.231876,-115.796793
507,Cylindropuntia_acanthocarpa,35.232064,-115.794262
508,Cylindropuntia_acanthocarpa,35.232177,-115.794264
509,Cylindropuntia_acanthocarpa,35.232206,-115.79626
510,Cylindropuntia_acanthocarpa,35.232551,-115.795772
511,Cylindropuntia_acanthocarpa,35.232571,-115.793906
512,Cylindropuntia_acanthocarpa,35.235385,-115.801957
513,Cylindropuntia_acanthocarpa,35.235427,-115.802328
514,Cylindropuntia_acanthocarpa,35.235779,-115.801966
515,Cylindropuntia_acanthocarpa,35.236161,-115.802222
516,Cylindropuntia_ramosissima,35.231777,-115.79363
517,Cylindropuntia_ramosissima,35.231837,-115.796134
518,Cylindropuntia_ramosissima,35.231936,-115.795836
519,Cylindropuntia_ramosissima,35.231964,-115.795813
520,Cylindropuntia_ramosissima,35.231985,-115.794073
521,Cylindropuntia_ramosissima,35.23204,-115.794652
522,Cylindropuntia_ramosissima,35.232065,-115.795825
523,Cylindropuntia_ramosissima,35.232145,-115.794653
524,Cylindropuntia_ramosissima,35.232167,-115.793579
525,Cylindropuntia_ramosissima,35.232174,-115.794163
526,Cylindropuntia_ramosissima,35.232245,-115.794468
527,Cylindropuntia_ramosissima,35.232387,-115.793902
528,Cylindropuntia_ramosissima,35.23249,-115.794145
529,Cylindropuntia_ramosissima,35.235588,-115.801555
530,Cylindropuntia_ramosissima,35.235596,-115.8015
531,Cylindropuntia_ramosissima,35.235776,-115.802239
532,Cylindropuntia_ramosissima,35.235777,-115.802137
533,Cylindropuntia_acanthocarpa,35.23453472,-114.1960733
534,Cylindropuntia_acanthocarpa,35.23455389,-114.1963669
535,Cylindropuntia_acanthocarpa,35.23527083,-114.1970469
536,Cylindropuntia_acanthocarpa,35.23557917,-114.2010889
537,Cylindropuntia_acanthocarpa,35.23570694,-114.20106
538,Cylindropuntia_acanthocarpa,35.23571,-114.1964731
539,Cylindropuntia_acanthocarpa,35.23579194,-114.2009939
540,Cylindropuntia_acanthocarpa,35.23625472,-114.2026594
541,Cylindropuntia_acanthocarpa,35.23819611,-114.2012869
542,Cylindropuntia_acanthocarpa,35.23844111,-114.2015811
543,Cylindropuntia_acanthocarpa,35.23853111,-114.2017489
544,Cylindropuntia_acanthocarpa,35.23864917,-114.202025
545,Cylindropuntia_bigelovii,35.23605889,-114.1978981
546,Cylindropuntia_acanthocarpa,35.23605417,-114.1967908
547,Cylindropuntia_acanthocarpa,35.23625472,-114.2026483
548,Cylindropuntia_ramosissima,35.23564417,-114.2011542
549,Cylindropuntia_ramosissima,35.23576083,-114.2012369
